id,created_at,name,acronym,city,legal_status,pricing_min,pricing_max,pricing_details,logo_url,website_url,programs_tags,filieres,media_id
49dbf090-1be3-4c2d-b3c5-f080f30db606,2026-02-13 09:08:32.732025+00,EIGSI,,,,,,,,,,"Conception Mécanique, Mécatronique, Énergie & Environnement, Réseaux & Systèmes d'Information, Performance Industrielle, Entreprise du Futur, BTP & Construction, Big Data & IA, Supply Chain & Transport International, Numérique Responsable, Ingénierie de la Santé",
49f73c33-dcaf-4085-bb3b-e15a4436a816,2026-02-13 09:08:32.732025+00,ERA,,,,,,,,,,"Administration & Défense, Aéronautique & Transport, Contrôle Aérien, Ingénierie Aéronautique, Mécanique Aéronautique, Pilotage, Systèmes Aéronautiques, Télémécanique",
4a1d5487-37c9-44b0-83b6-b70204246eb7,2026-02-13 09:08:32.732025+00,ERSSM,,,,,,,,,,"Anesthésie-Réanimation, Cardiologie, Dermatologie, Endocrinologie-Diabétologie, Gastro-entérologie, Hématologie, Médecine Interne, Médecine d'Urgence, Médecine du Travail, Médecine Légale, Médecine Nucléaire, Médecine Physique et Réadaptation, Néphrologie, Neurologie, Oncologie Médicale, Pédiatrie, Pneumologie, Psychiatrie, Radiologie, Rhumatologie, Maladies Infectieuses, Réanimation Médicale, Chirurgie Générale, Chirurgie Cardiovasculaire, Chirurgie Orthopédique et Traumatologie, Chirurgie Pédiatrique, Chirurgie Plastique et Reconstructrice, Chirurgie Thoracique, Chirurgie Vasculaire, Chirurgie Maxillo-faciale, Gynécologie-Obstétrique, Neurochirurgie, Ophtalmologie, ORL (Oto-Rhino-Laryngologie), Urologie",
4b403484-84e8-4333-9cc3-6c4753c4b9b4,2026-02-13 09:08:32.732025+00,ISGA,,,,,,,,,,"Développement & Logiciel, Finance, Finance & Assurance, Génie Civil, Génie Civil & BTP, Génie Informatique, Management, Marketing & Comm, Marketing Digital, Systèmes & Réseaux, Systèmes Embarqués, Électrique & Auto",
4d8eb0a9-b270-40ca-8130-c8b3be9b3ed2,2026-02-13 09:08:32.732025+00,ENCG El Jadida,,,,,,,,,,"Achat & Supply Chain, Administration & Défense, Audit & Contrôle, Commerce & Vente, Comptabilité & Audit, Finance & Assurance, Gestion & Stratégie, Marketing & Comm, RH & Management",
4dd1a2e7-abac-4b6a-a141-e1f999c569b5,2026-02-13 09:08:32.732025+00,UIC,,,,,,,,,,"Architecture, Commerce & Vente, Droit, Droit & Juridique, Développement & Logiciel, Génie Civil & BTP, Génie Industriel & Prod, Hôtellerie & Tourisme, Ingénierie, Ingénierie Santé, Management, Mécanique & Matériaux, Médecine, Médecine Dentaire, Paramédical, Pharmacie, Pharmacie & Biologie, RH & Management, Soins & Paramédical",
57364c94-e53e-4558-af15-59258fbfb902,2026-02-13 09:08:32.732025+00,ENSAM,,,,,,,,,,"Conception Mécanique, Data & IA, Génie Industriel, Génie Industriel & Prod, Génie Mécanique, Maintenance & Qualité, Maintenance Industrielle, Mécanique & Matériaux, Mécatronique, Productique, Robotique",
63e6590c-7c33-4db2-8eee-f0faba8e6213,2026-02-13 09:08:32.732025+00,Faculté de Sciences,,,,,,,,,,"Biologie, Biotechnologie, Business & Vente, Chimie, Géologie, Informatique, Mathématiques, Physique, Recherche & Clinique, Sciences de la Terre",
724ebca3-062b-4481-879e-c1713d42843f,2026-02-13 09:08:32.732025+00,INPT,,,,,,,,,,"Cloud Computing, Cybersécurité, Développement & Logiciel, Génie Logiciel, Réseaux et Systèmes, Systèmes & Réseaux, Systèmes Embarqués, Télécommunications, Télécoms & Réseaux",
74b61259-63a2-4900-8955-c5f22d742376,2026-02-13 09:08:32.732025+00,FST,,,,,,,,,,"Agronomie & Agriculture, Biologie, Chimie & Procédés, Commerce & Vente, Data & IA, Développement & Logiciel, Génie Chimique, Génie Civil, Génie Civil & BTP, Génie Industriel & Prod, Génie Informatique, Génie Mécanique, Génie Électrique, Maintenance & Qualité, Mathématiques Appliquées, Mécanique & Matériaux, Pharmacie & Biologie, Physique, Systèmes & Réseaux, Télécoms & Réseaux, Électrique & Auto",
846335d8-fb54-4147-90ae-b392ea5700ef,2026-02-13 09:08:32.732025+00,ARM,,,,,,,,,,"Achat & Supply Chain, Administration & Défense, Artillerie, Blindés, Forces Marines, Garde Royale, Gendarmerie Royale, Génie Militaire, Infanterie, Intendance, Matériel Militaire, Parachutistes, Santé Militaire, Transport Militaire",
99b95cad-2089-4582-804a-6a428b203074,2026-02-13 09:08:32.732025+00,ENSIAS,,,,,,,,,,"Big Data, Cloud et DevOps, Cybersécurité, Data & IA, Développement & Logiciel, Ingénierie Logicielle, Intelligence Artificielle, IoT, Systèmes & Réseaux, Systèmes d'Information",
9cde75e1-87a2-48e3-ba25-2fe6160a6d60,2026-02-13 09:08:32.732025+00,ENCG Settat,,,,,,,,,,"Achat & Supply Chain, Administration & Défense, Audit & Contrôle, Commerce & Vente, Comptabilité & Audit, Finance & Assurance, Gestion & Stratégie, Marketing & Comm, RH & Management",
9ee4cdc7-0cb5-4468-aa7c-8f93881ee644,2026-02-13 09:08:32.732025+00,IRAT,,,,,,,,,,"Administration Territoriale, Gestion des Collectivités Locales, Finances Locales, Urbanisme et Aménagement, Développement Local",
9f887b41-f545-4f33-b210-432d15a1717c,2026-02-13 09:08:32.732025+00,IIHEM,,,,,,,,,,"Développement & Logiciel, Enseignement & Recherche, Entrepreneuriat, Finance, Finance & Assurance, Gestion & Stratégie, Management, Marketing, Marketing & Comm, Ressources Humaines, Systèmes & Réseaux, Systèmes d'Information",
a7467412-6bdc-4109-baeb-45b55db76e3b,2026-02-13 09:08:32.732025+00,UM6P,,,,,,,,,,"Achat & Supply Chain, Agriculture Intelligente, Architecture & Design, Chimie & Procédés, Chimie Verte, Cybersécurité, Data & IA, Développement & Logiciel, Enseignement & Recherche, Finance & Assurance, Gestion de l'Eau, Génie Industriel & Prod, Hôtellerie & Tourisme, Intelligence Artificielle, Politique & Relations Int., Sciences des Données, Systèmes & Réseaux, Urbanisme Durable, Économie & Statistique, Économie Appliquée, Énergie & Environnement, Énergie Durable",
ab64f2be-561c-4bf9-a4ab-3856bbed7530,2026-02-13 09:08:32.732025+00,IAV,,,,,,,,,,"Agronomie, Agronomie & Agriculture, Agroéconomie, Génie Civil & BTP, Génie Rural, Horticulture, Industries Agricoles et Alimentaires, Production Animale, Production Végétale, Protection des Plantes, Sciences Vétérinaires, Topographie",
b0958dc2-d099-4457-8335-d0548ad2e8d0,2026-02-13 09:08:32.732025+00,ENSA,,,,,,,,,,"Administration & Défense, Développement & Logiciel, Génie Civil, Génie Civil & BTP, Génie Industriel, Génie Industriel & Prod, Génie Informatique, Génie Mécanique, Génie des Systèmes, Génie des Télécommunications, Génie Électrique, Maintenance & Qualité, Mécanique & Matériaux, Systèmes & Réseaux, Télécoms & Réseaux",
b32977a2-5c8f-443b-888a-94bb3b18101b,2026-02-13 09:08:32.732025+00,Universiapolis,,Agadir,,35000,80000,,,,,"Achat & Supply Chain, Agronomie, Agronomie & Agriculture, Architecture, Audit & Contrôle, Droit, Droit & Juridique, Développement & Logiciel, Hôtellerie & Tourisme, Ingénierie, Management, Marketing & Comm, Mécanique & Matériaux, Paramédical, Soins & Paramédical, Tourisme",0acb3c40-6ac9-4292-814e-8e8c8c4d3b19
be78e431-3226-4581-9922-6cc2fd557224,2026-02-13 09:08:32.732025+00,Faculté de Médecine,,,,,,,,,,"Anesthésie-Réanimation, Cardiologie, Dermatologie, Endocrinologie-Diabétologie, Gastro-entérologie, Hématologie, Médecine Interne, Médecine d'Urgence, Médecine du Travail, Médecine Légale, Médecine Nucléaire, Médecine Physique et Réadaptation, Néphrologie, Neurologie, Oncologie Médicale, Pédiatrie, Pneumologie, Psychiatrie, Radiologie, Rhumatologie, Maladies Infectieuses, Réanimation Médicale, Chirurgie Générale, Chirurgie Cardiovasculaire, Chirurgie Orthopédique et Traumatologie, Chirurgie Pédiatrique, Chirurgie Plastique et Reconstructrice, Chirurgie Thoracique, Chirurgie Vasculaire, Chirurgie Maxillo-faciale, Gynécologie-Obstétrique, Neurochirurgie, Ophtalmologie, ORL (Oto-Rhino-Laryngologie), Urologie",
bf9b9eb8-2bf5-4594-b11e-ee0b14711385,2026-02-13 09:08:32.732025+00,ESITH,,,,,,,,,,"Achat & Supply Chain, Design Mode, Développement & Logiciel, Génie Industriel & Prod, Innovation Textile, Logistique Textile, Maintenance & Qualité, Management Textile, Marketing & Comm, Production Textile, Textile & Matériaux, Textile et Habillement",
